zone_id,hour_of_day,day_of_week,is_weekend,is_raining,base_zone_demand,prev_hour_orders,actual_orders
koramangala,0,0,0,0,18,2,3
indiranagar,0,0,0,0,15,2,2
whitefield,0,0,0,0,12,2,2
marathahalli,0,0,0,0,14,2,4
hsr_layout,0,0,0,0,13,2,1
jp_nagar,0,0,0,0,11,2,0
electronic_city,0,0,0,0,10,1,4
hebbal,0,0,0,0,9,1,2
koramangala,1,0,0,0,18,3,2
indiranagar,1,0,0,0,15,2,3
whitefield,1,0,0,0,12,2,1
marathahalli,1,0,0,0,14,2,2
hsr_layout,1,0,0,0,13,2,2
jp_nagar,1,0,0,0,11,1,0
electronic_city,1,0,0,0,10,2,0
hebbal,1,0,0,0,9,1,0
koramangala,2,0,0,0,18,4,1
indiranagar,2,0,0,0,15,3,3
whitefield,2,0,0,0,12,2,0
marathahalli,2,0,0,0,14,2,0
hsr_layout,2,0,0,0,13,2,4
jp_nagar,2,0,0,0,11,2,0
electronic_city,2,0,0,0,10,1,1
hebbal,2,0,0,0,9,1,0
koramangala,3,0,0,0,18,3,2
indiranagar,3,0,0,0,15,2,2
whitefield,3,0,0,0,12,2,0
marathahalli,3,0,0,0,14,2,2
hsr_layout,3,0,0,0,13,2,1
jp_nagar,3,0,0,0,11,2,1
electronic_city,3,0,0,0,10,2,1
hebbal,3,0,0,0,9,1,3
koramangala,4,0,0,0,18,3,2
indiranagar,4,0,0,0,15,2,0
whitefield,4,0,0,0,12,2,3
marathahalli,4,0,0,0,14,3,1
hsr_layout,4,0,0,0,13,2,2
jp_nagar,4,0,0,0,11,2,0
electronic_city,4,0,0,0,10,1,0
hebbal,4,0,0,0,9,1,1
koramangala,5,0,0,0,18,3,4
indiranagar,5,0,0,0,15,3,2
whitefield,5,0,0,0,12,2,1
marathahalli,5,0,0,0,14,2,1
hsr_layout,5,0,0,0,13,2,0
jp_nagar,5,0,0,0,11,2,0
electronic_city,5,0,0,0,10,1,0
hebbal,5,0,0,0,9,1,3
koramangala,6,0,0,0,18,14,16
indiranagar,6,0,0,0,15,13,7
whitefield,6,0,0,0,12,10,10
marathahalli,6,0,0,0,14,11,9
hsr_layout,6,0,0,0,13,10,7
jp_nagar,6,0,0,0,11,8,8
electronic_city,6,0,0,0,10,9,9
hebbal,6,0,0,0,9,6,8
koramangala,7,0,0,0,18,18,22
indiranagar,7,0,0,0,15,20,15
whitefield,7,0,0,0,12,15,14
marathahalli,7,0,0,0,14,14,19
hsr_layout,7,0,0,0,13,15,15
jp_nagar,7,0,0,0,11,13,10
electronic_city,7,0,0,0,10,11,8
hebbal,7,0,0,0,9,12,10
koramangala,8,0,0,0,18,24,21
indiranagar,8,0,0,0,15,14,22
whitefield,8,0,0,0,12,16,11
marathahalli,8,0,0,0,14,16,15
hsr_layout,8,0,0,0,13,17,16
jp_nagar,8,0,0,0,11,11,12
electronic_city,8,0,0,0,10,12,11
hebbal,8,0,0,0,9,12,12
koramangala,9,0,0,0,18,19,20
indiranagar,9,0,0,0,15,19,18
whitefield,9,0,0,0,12,13,12
marathahalli,9,0,0,0,14,17,17
hsr_layout,9,0,0,0,13,15,13
jp_nagar,9,0,0,0,11,11,11
electronic_city,9,0,0,0,10,12,11
hebbal,9,0,0,0,9,9,6
koramangala,10,0,0,0,18,15,12
indiranagar,10,0,0,0,15,13,13
whitefield,10,0,0,0,12,7,10
marathahalli,10,0,0,0,14,11,9
hsr_layout,10,0,0,0,13,8,9
jp_nagar,10,0,0,0,11,9,7
electronic_city,10,0,0,0,10,8,9
hebbal,10,0,0,0,9,6,6
koramangala,11,0,0,0,18,28,27
indiranagar,11,0,0,0,15,23,25
whitefield,11,0,0,0,12,20,21
marathahalli,11,0,0,0,14,18,22
hsr_layout,11,0,0,0,13,19,21
jp_nagar,11,0,0,0,11,15,14
electronic_city,11,0,0,0,10,15,14
hebbal,11,0,0,0,9,13,10
koramangala,12,0,0,0,18,33,28
indiranagar,12,0,0,0,15,27,24
whitefield,12,0,0,0,12,15,22
marathahalli,12,0,0,0,14,25,24
hsr_layout,12,0,0,0,13,24,19
jp_nagar,12,0,0,0,11,15,16
electronic_city,12,0,0,0,10,14,14
hebbal,12,0,0,0,9,11,11
koramangala,13,0,0,0,18,34,25
indiranagar,13,0,0,0,15,26,23
whitefield,13,0,0,0,12,18,23
marathahalli,13,0,0,0,14,26,22
hsr_layout,13,0,0,0,13,22,18
jp_nagar,13,0,0,0,11,16,19
electronic_city,13,0,0,0,10,16,13
hebbal,13,0,0,0,9,15,11
koramangala,14,0,0,0,18,14,14
indiranagar,14,0,0,0,15,13,13
whitefield,14,0,0,0,12,11,7
marathahalli,14,0,0,0,14,9,11
hsr_layout,14,0,0,0,13,11,8
jp_nagar,14,0,0,0,11,7,7
electronic_city,14,0,0,0,10,7,9
hebbal,14,0,0,0,9,7,8
koramangala,15,0,0,0,18,14,15
indiranagar,15,0,0,0,15,14,8
whitefield,15,0,0,0,12,10,10
marathahalli,15,0,0,0,14,10,8
hsr_layout,15,0,0,0,13,9,9
jp_nagar,15,0,0,0,11,9,10
electronic_city,15,0,0,0,10,7,7
hebbal,15,0,0,0,9,8,5
koramangala,16,0,0,0,18,12,13
indiranagar,16,0,0,0,15,14,12
whitefield,16,0,0,0,12,11,6
marathahalli,16,0,0,0,14,9,12
hsr_layout,16,0,0,0,13,11,8
jp_nagar,16,0,0,0,11,10,9
electronic_city,16,0,0,0,10,6,6
hebbal,16,0,0,0,9,6,9
koramangala,17,0,0,0,18,16,10
indiranagar,17,0,0,0,15,10,9
whitefield,17,0,0,0,12,9,9
marathahalli,17,0,0,0,14,11,9
hsr_layout,17,0,0,0,13,9,10
jp_nagar,17,0,0,0,11,7,9
electronic_city,17,0,0,0,10,9,5
hebbal,17,0,0,0,9,6,7
koramangala,18,0,0,0,18,13,12
indiranagar,18,0,0,0,15,13,13
whitefield,18,0,0,0,12,8,8
marathahalli,18,0,0,0,14,11,8
hsr_layout,18,0,0,0,13,8,9
jp_nagar,18,0,0,0,11,10,9
electronic_city,18,0,0,0,10,8,8
hebbal,18,0,0,0,9,7,6
koramangala,19,0,0,0,18,29,30
indiranagar,19,0,0,0,15,33,31
whitefield,19,0,0,0,12,26,25
marathahalli,19,0,0,0,14,23,22
hsr_layout,19,0,0,0,13,20,28
jp_nagar,19,0,0,0,11,24,20
electronic_city,19,0,0,0,10,19,15
hebbal,19,0,0,0,9,20,18
koramangala,20,0,0,0,18,40,35
indiranagar,20,0,0,0,15,32,25
whitefield,20,0,0,0,12,24,22
marathahalli,20,0,0,0,14,31,27
hsr_layout,20,0,0,0,13,28,28
jp_nagar,20,0,0,0,11,18,22
electronic_city,20,0,0,0,10,16,22
hebbal,20,0,0,0,9,19,17
koramangala,21,0,0,0,18,38,32
indiranagar,21,0,0,0,15,26,29
whitefield,21,0,0,0,12,20,17
marathahalli,21,0,0,0,14,23,23
hsr_layout,21,0,0,0,13,28,27
jp_nagar,21,0,0,0,11,19,21
electronic_city,21,0,0,0,10,18,21
hebbal,21,0,0,0,9,17,20
koramangala,22,0,0,0,18,12,16
indiranagar,22,0,0,0,15,10,15
whitefield,22,0,0,0,12,8,7
marathahalli,22,0,0,0,14,10,15
hsr_layout,22,0,0,0,13,9,10
jp_nagar,22,0,0,0,11,8,6
electronic_city,22,0,0,0,10,8,5
hebbal,22,0,0,0,9,7,6
koramangala,23,0,0,0,18,16,13
indiranagar,23,0,0,0,15,13,13
whitefield,23,0,0,0,12,10,9
marathahalli,23,0,0,0,14,9,10
hsr_layout,23,0,0,0,13,9,7
jp_nagar,23,0,0,0,11,10,6
electronic_city,23,0,0,0,10,7,6
hebbal,23,0,0,0,9,6,7
koramangala,0,1,0,0,18,3,3
indiranagar,0,1,0,0,15,3,1
whitefield,0,1,0,0,12,2,2
marathahalli,0,1,0,0,14,2,2
hsr_layout,0,1,0,0,13,2,0
jp_nagar,0,1,0,0,11,2,2
electronic_city,0,1,0,0,10,2,1
hebbal,0,1,0,0,9,1,0
koramangala,1,1,0,0,18,3,4
indiranagar,1,1,0,0,15,3,2
whitefield,1,1,0,0,12,2,3
marathahalli,1,1,0,0,14,2,3
hsr_layout,1,1,0,0,13,2,0
jp_nagar,1,1,0,0,11,2,0
electronic_city,1,1,0,0,10,1,1
hebbal,1,1,0,0,9,1,1
koramangala,2,1,0,0,18,4,3
indiranagar,2,1,0,0,15,2,8
whitefield,2,1,0,0,12,2,2
marathahalli,2,1,0,0,14,2,3
hsr_layout,2,1,0,0,13,2,3
jp_nagar,2,1,0,0,11,2,2
electronic_city,2,1,0,0,10,1,0
hebbal,2,1,0,0,9,1,3
koramangala,3,1,0,0,18,3,1
indiranagar,3,1,0,0,15,2,2
whitefield,3,1,0,0,12,2,1
marathahalli,3,1,0,0,14,2,3
hsr_layout,3,1,0,0,13,2,5
jp_nagar,3,1,0,0,11,2,0
electronic_city,3,1,0,0,10,2,3
hebbal,3,1,0,0,9,2,0
koramangala,4,1,0,0,18,4,2
indiranagar,4,1,0,0,15,2,3
whitefield,4,1,0,0,12,2,2
marathahalli,4,1,0,0,14,3,0
hsr_layout,4,1,0,0,13,2,0
jp_nagar,4,1,0,0,11,1,3
electronic_city,4,1,0,0,10,1,0
hebbal,4,1,0,0,9,1,1
koramangala,5,1,0,0,18,3,3
indiranagar,5,1,0,0,15,3,1
whitefield,5,1,0,0,12,2,5
marathahalli,5,1,0,0,14,2,2
hsr_layout,5,1,0,0,13,2,0
jp_nagar,5,1,0,0,11,2,2
electronic_city,5,1,0,0,10,2,1
hebbal,5,1,0,0,9,1,2
koramangala,6,1,0,0,18,13,13
indiranagar,6,1,0,0,15,13,12
whitefield,6,1,0,0,12,9,10
marathahalli,6,1,0,0,14,11,12
hsr_layout,6,1,0,0,13,9,7
jp_nagar,6,1,0,0,11,8,6
electronic_city,6,1,0,0,10,7,7
hebbal,6,1,0,0,9,6,5
koramangala,7,1,0,0,18,21,21
indiranagar,7,1,0,0,15,18,15
whitefield,7,1,0,0,12,13,12
marathahalli,7,1,0,0,14,13,18
hsr_layout,7,1,0,0,13,13,18
jp_nagar,7,1,0,0,11,10,13
electronic_city,7,1,0,0,10,10,8
hebbal,7,1,0,0,9,11,9
koramangala,8,1,0,0,18,23,24
indiranagar,8,1,0,0,15,16,13
whitefield,8,1,0,0,12,11,14
marathahalli,8,1,0,0,14,20,17
hsr_layout,8,1,0,0,13,16,14
jp_nagar,8,1,0,0,11,14,13
electronic_city,8,1,0,0,10,14,5
hebbal,8,1,0,0,9,8,7
koramangala,9,1,0,0,18,18,21
indiranagar,9,1,0,0,15,18,14
whitefield,9,1,0,0,12,15,17
marathahalli,9,1,0,0,14,14,14
hsr_layout,9,1,0,0,13,17,12
jp_nagar,9,1,0,0,11,14,15
electronic_city,9,1,0,0,10,10,12
hebbal,9,1,0,0,9,9,8
koramangala,10,1,0,0,18,17,14
indiranagar,10,1,0,0,15,13,10
whitefield,10,1,0,0,12,10,7
marathahalli,10,1,0,0,14,9,12
hsr_layout,10,1,0,0,13,11,10
jp_nagar,10,1,0,0,11,7,9
electronic_city,10,1,0,0,10,8,7
hebbal,10,1,0,0,9,6,5
koramangala,11,1,0,0,18,28,27
indiranagar,11,1,0,0,15,27,26
whitefield,11,1,0,0,12,16,23
marathahalli,11,1,0,0,14,23,22
hsr_layout,11,1,0,0,13,22,23
jp_nagar,11,1,0,0,11,19,17
electronic_city,11,1,0,0,10,14,16
hebbal,11,1,0,0,9,14,14
koramangala,12,1,0,0,18,28,30
indiranagar,12,1,0,0,15,21,25
whitefield,12,1,0,0,12,21,15
marathahalli,12,1,0,0,14,25,19
hsr_layout,12,1,0,0,13,20,20
jp_nagar,12,1,0,0,11,16,16
electronic_city,12,1,0,0,10,18,14
hebbal,12,1,0,0,9,12,13
koramangala,13,1,0,0,18,26,33
indiranagar,13,1,0,0,15,25,22
whitefield,13,1,0,0,12,15,22
marathahalli,13,1,0,0,14,18,23
hsr_layout,13,1,0,0,13,20,20
jp_nagar,13,1,0,0,11,18,17
electronic_city,13,1,0,0,10,15,18
hebbal,13,1,0,0,9,12,13
koramangala,14,1,0,0,18,15,12
indiranagar,14,1,0,0,15,12,11
whitefield,14,1,0,0,12,9,10
marathahalli,14,1,0,0,14,12,9
hsr_layout,14,1,0,0,13,11,9
jp_nagar,14,1,0,0,11,7,6
electronic_city,14,1,0,0,10,7,6
hebbal,14,1,0,0,9,7,8
koramangala,15,1,0,0,18,12,14
indiranagar,15,1,0,0,15,11,13
whitefield,15,1,0,0,12,11,10
marathahalli,15,1,0,0,14,10,9
hsr_layout,15,1,0,0,13,9,10
jp_nagar,15,1,0,0,11,7,6
electronic_city,15,1,0,0,10,8,7
hebbal,15,1,0,0,9,8,6
koramangala,16,1,0,0,18,15,12
indiranagar,16,1,0,0,15,13,11
whitefield,16,1,0,0,12,11,7
marathahalli,16,1,0,0,14,11,13
hsr_layout,16,1,0,0,13,9,7
jp_nagar,16,1,0,0,11,10,6
electronic_city,16,1,0,0,10,9,8
hebbal,16,1,0,0,9,5,8
koramangala,17,1,0,0,18,11,12
indiranagar,17,1,0,0,15,12,11
whitefield,17,1,0,0,12,11,7
marathahalli,17,1,0,0,14,12,9
hsr_layout,17,1,0,0,13,11,9
jp_nagar,17,1,0,0,11,8,6
electronic_city,17,1,0,0,10,7,9
hebbal,17,1,0,0,9,8,5
koramangala,18,1,0,0,18,15,12
indiranagar,18,1,0,0,15,13,12
whitefield,18,1,0,0,12,8,8
marathahalli,18,1,0,0,14,11,9
hsr_layout,18,1,0,0,13,9,7
jp_nagar,18,1,0,0,11,7,8
electronic_city,18,1,0,0,10,8,7
hebbal,18,1,0,0,9,6,6
koramangala,19,1,0,0,18,36,32
indiranagar,19,1,0,0,15,30,32
whitefield,19,1,0,0,12,25,20
marathahalli,19,1,0,0,14,28,27
hsr_layout,19,1,0,0,13,23,23
jp_nagar,19,1,0,0,11,22,22
electronic_city,19,1,0,0,10,21,16
hebbal,19,1,0,0,9,14,18
koramangala,20,1,0,0,18,37,35
indiranagar,20,1,0,0,15,26,24
whitefield,20,1,0,0,12,24,23
marathahalli,20,1,0,0,14,31,24
hsr_layout,20,1,0,0,13,24,20
jp_nagar,20,1,0,0,11,17,19
electronic_city,20,1,0,0,10,17,17
hebbal,20,1,0,0,9,14,17
koramangala,21,1,0,0,18,38,34
indiranagar,21,1,0,0,15,33,34
whitefield,21,1,0,0,12,24,20
marathahalli,21,1,0,0,14,21,28
hsr_layout,21,1,0,0,13,24,26
jp_nagar,21,1,0,0,11,24,17
electronic_city,21,1,0,0,10,19,19
hebbal,21,1,0,0,9,17,15
koramangala,22,1,0,0,18,13,13
indiranagar,22,1,0,0,15,12,11
whitefield,22,1,0,0,12,8,10
marathahalli,22,1,0,0,14,10,12
hsr_layout,22,1,0,0,13,11,12
jp_nagar,22,1,0,0,11,8,9
electronic_city,22,1,0,0,10,7,12
hebbal,22,1,0,0,9,6,5
koramangala,23,1,0,0,18,17,16
indiranagar,23,1,0,0,15,12,11
whitefield,23,1,0,0,12,8,12
marathahalli,23,1,0,0,14,12,9
hsr_layout,23,1,0,0,13,11,7
jp_nagar,23,1,0,0,11,8,8
electronic_city,23,1,0,0,10,7,4
hebbal,23,1,0,0,9,6,7
koramangala,0,2,0,0,18,3,1
indiranagar,0,2,0,0,15,3,3
whitefield,0,2,0,0,12,2,2
marathahalli,0,2,0,0,14,3,4
hsr_layout,0,2,0,0,13,2,3
jp_nagar,0,2,0,0,11,2,1
electronic_city,0,2,0,0,10,2,0
hebbal,0,2,0,0,9,2,2
koramangala,1,2,0,0,18,3,1
indiranagar,1,2,0,0,15,2,5
whitefield,1,2,0,0,12,2,3
marathahalli,1,2,0,0,14,3,1
hsr_layout,1,2,0,0,13,2,0
jp_nagar,1,2,0,0,11,2,4
electronic_city,1,2,0,0,10,2,0
hebbal,1,2,0,0,9,1,2
koramangala,2,2,0,0,18,4,0
indiranagar,2,2,0,0,15,2,2
whitefield,2,2,0,0,12,2,2
marathahalli,2,2,0,0,14,2,2
hsr_layout,2,2,0,0,13,2,1
jp_nagar,2,2,0,0,11,2,2
electronic_city,2,2,0,0,10,1,0
hebbal,2,2,0,0,9,1,0
koramangala,3,2,0,0,18,3,3
indiranagar,3,2,0,0,15,2,3
whitefield,3,2,0,0,12,2,3
marathahalli,3,2,0,0,14,2,0
hsr_layout,3,2,0,0,13,2,0
jp_nagar,3,2,0,0,11,2,3
electronic_city,3,2,0,0,10,1,2
hebbal,3,2,0,0,9,1,0
koramangala,4,2,0,0,18,3,5
indiranagar,4,2,0,0,15,2,2
whitefield,4,2,0,0,12,2,3
marathahalli,4,2,0,0,14,3,2
hsr_layout,4,2,0,0,13,2,5
jp_nagar,4,2,0,0,11,2,4
electronic_city,4,2,0,0,10,1,1
hebbal,4,2,0,0,9,1,3
koramangala,5,2,0,0,18,2,3
indiranagar,5,2,0,0,15,3,5
whitefield,5,2,0,0,12,2,0
marathahalli,5,2,0,0,14,2,3
hsr_layout,5,2,0,0,13,2,3
jp_nagar,5,2,0,0,11,2,0
electronic_city,5,2,0,0,10,2,0
hebbal,5,2,0,0,9,2,0
koramangala,6,2,0,0,18,13,11
indiranagar,6,2,0,0,15,12,13
whitefield,6,2,0,0,12,10,10
marathahalli,6,2,0,0,14,9,12
hsr_layout,6,2,0,0,13,10,11
jp_nagar,6,2,0,0,11,10,4
electronic_city,6,2,0,0,10,7,4
hebbal,6,2,0,0,9,6,5
